"uralex_lang"	"uralex_mng"	"item"	"item_UPA"	"item_IPA"	"form_set"	"cogn_set"	"borr_source"	"borr_qual"	"etym_notes"	"glossing_notes"	"general_notes"	"ref_cogn"	"ref_borr"	"ref_item"
"Erzya"	"I"	"mon"	"mon"	"mon"	"1"	"a"	""	""	""	""	""	""	""	"MordWb"
"Estonian_South"	"I"	"maq, mina, minno"	""	""	"1"	"a"	""	""	""	""	""	""	""	"VESr"
"Estonian_Standard"	"I"	"mina ~ ma"	""	"minɑ ~ mɑ"	"1"	"a"	""	""	""	""	""	""	""	"SVSk"
"Finnish_Standard"	"I"	"minä"	""	"minæ"	"1"	"a"	""	""	""	""	""	""	""	"JL"
"Hungarian"	"I"	"én"	""	"eːn"	"1"	"a"	""	""	"Early Ug *mänɜ > ämnɜ?"	""	""	""	""	"FMSz"
"Ingrian"	"I"	"miä"	"miä"	"miæ"	"1"	"a"	""	""	""	""	""	""	""	"InkmSk"
"Karelian_Proper"	"I"	"mie"	""	""	"1"	"a"	""	""	""	""	"In Olonets Karelian (Livvi), ""minä"""	""	""	"KKSV"
"Khanty_Vakh_Vasyugan"	"I"	"mä"	"mä"	"mæ"	"1"	"a"	""	""	""	""	""	""	""	"DEWbOstj"
"Komi_Permyak"	"I"	"me"	"me"	"me"	"1"	"a"	""	""	""	""	"Stem ""men-"""	""	""	"KoPRSl"
"Komi_Zyrian"	"I"	"me"	"me"	"me"	"1"	"a"	""	""	""	""	""	""	""	"SyrjWsch"
"Livonian_Courland"	"I"	"ma"	""	""	"1"	"a"	""	""	""	""	""	""	""	"LivWb"
"Mansi_Sosva"	"I"	"am"	"am"	"ɑm"	"1"	"a"	""	""	"Early Ug *mänɜ > ämnɜ?"	""	""	""	""	"WogWb"
"Mari_Hill"	"I"	"məń"	"məń"	""	"1"	"a"	""	""	""	""	""	"SES, Bereczki2013, UEW"	""	""
"Mari_Meadow"	"I"	"mə̑j"	"mə̑j"	"mə̠j"	"1"	"a"	""	""	""	""	""	""	""	"SMSk, TscherWb"
"Moksha"	"I"	"mon"	""	""	"1"	"a"	""	""	""	""	""	"SES, UEW"	""	""
"Nenets_Tundra"	"I"	"məny°"	""	""	"1"	"a"	""	""	""	""	""	""	""	"JurSWb"
"Nganasan"	"I"	"mənə"	"mənə"	"mənə"	"1"	"a"	""	""	""	""	""	""	""	"SlNgaRus"
"Proto_Uralic"	"I"	"*min-, *mun-"	""	""	"1"	"a"	""	""	""	""	""	""	""	"UEW, Sam88"
"Saami_Inari"	"I"	"mun"	""	""	"1"	"a"	""	""	""	""	""	""	""	"InsSSk"
"Saami_Kildin"	"I"	"munn"	""	"munː"	"1"	"a"	""	""	""	""	""	""	""	"WOLD"
"Saami_North"	"I"	"mun"	""	""	"1"	"a"	""	""	""	""	""	""	""	"SSSg"
"Saami_Pite"	"I"	"mån/iv/-iv"	""	""	"1"	"a"	""	""	""	""	""	""	""	"EZ"
"Saami_Skolt"	"I"	"mon"	""	""	"1"	"a"	""	""	""	""	""	""	""	"SKosSk"
"Saami_South"	"I"	"manne"	""	""	"1"	"a"	""	""	""	""	""	""	""	"NSsNdb"
"Saami_Ume"	"I"	"månna"	""	""	"1"	"a"	""	""	""	""	""	""	""	"WbWlap"
"Selkup_Northern"	"I"	"man"	"man"	"mɑn"	"1"	"a"	""	""	""	""	""	""	""	"SolkWb"
"Udmurt"	"I"	"mon"	"mon"	"mon"	"1"	"a"	""	""	""	""	""	""	""	"WotjWsch"
"Veps"	"I"	"mińa ~ mä"	""	""	"1"	"a"	""	""	""	""	""	""	""	"VVS"
"Votic_Western"	"I"	"miä"	"miä"	"miæ"	"1"	"a"	""	""	""	""	""	""	""	"VKJMS"
"Erzya"	"all"	"veśe"	"veśe"	"veɕe"	"5"	"e"	""	""	"From PU *we(ń)ćV?"	""	""	""	""	"MordWb"
"Estonian_South"	"all"	"kõik'"	""	""	"1"	"a"	"Baltic"	"clear"	""	""	""	""	"SSA, NES, EES"	"VESr"
"Estonian_Standard"	"all"	"kõik"	""	"kɤik"	"1"	"a"	"Baltic"	"clear"	""	""	""	""	"SSA, NES, EES"	"SVSk"
"Finnish_Standard"	"all"	"kaikki"	""	"kɑikːi"	"1"	"a"	"Baltic"	"clear"	""	""	""	""	"SSA, NES, EES"	"JL"
"Hungarian"	"all"	"mind, minden"	""	"mind, mindɛn"	"8"	"h"	""	""	""	""	""	""	""	"FMSz"
"Hungarian"	"all"	"összes"	""	"øsːɛʃ"	"5"	"e"	""	""	"From PU *we(ń)ćV?"	""	""	""	""	"FMSz"
"Ingrian"	"all"	"kai, kaiɢ, kaiɢin"	"kai, kaiɢ, kaiɢin"	"kɑi, kɑig̊, kɑig̊in"	"1"	"a"	"Baltic"	"clear"	""	""	""	""	"SSA, NES, EES"	"InkmSk"
"Karelian_Proper"	"all"	"kaikki"	""	""	"1"	"a"	"Baltic"	"clear"	""	""	""	""	"SSA, NES, EES"	"KKSV"
"Khanty_Vakh_Vasyugan"	"all"	"əj-săɣi̮t"	"əj-săɣi̮t"	"əj-sɑ̆ɣɯt"	"10"	"j"	""	""	""	"Comp; ""əj"" 'one'"	""	""	""	"DEWbOstj"
"Komi_Permyak"	"all"	"bi̮de̮s"	"bi̮de̮s"	"bɯdɤs"	"7"	"g"	""	""	""	""	""	""	""	"KoPRSl"
"Komi_Zyrian"	"all"	"stav, stave̮n"	"stav, stave̮n"	"stɑv, stɑvɤn"	"11"	"k"	"Russian"	"clear"	""	"Latter form used with animate referents"	""	""	"KESK, Kalima1911"	"SyrjWsch"
"Komi_Zyrian"	"all"	"bi̮d, bi̮de̮n"	"bi̮d, bi̮de̮n"	"bɯd, bɯdɤn"	"7"	"g"	""	""	""	""	""	""	""	""
"Livonian_Courland"	"all"	"amā"	""	""	"2"	"b"	""	""	""	""	""	""	""	"LivWb"
"Mansi_Sosva"	"all"	"sōχ"	"sōχ"	"soːχ"	"9"	"i"	""	""	""	""	""	""	""	"WogWb"
"Mari_Hill"	"all"	"cilä"	""	""	"4"	"d"	""	""	""	""	""	"SES, UEW"	""	""
"Mari_Meadow"	"all"	"čə̑la"	"čə̑la"	"ʧə̠lɑ"	"4"	"d"	""	""	""	""	""	""	""	"SMSk, TscherWb"
"Moksha"	"all"	"śembä"	""	""	"16"	"p"	""	""	"Cognacy reference lacking"	""	""	"MdH"	""	""
"Nenets_Tundra"	"all"	"mal°h"	""	""	"6"	"f"	""	""	"Deriv. from ""mal°"" 'end, top'"	""	""	""	""	"JurSWb"
"Nganasan"	"all"	"bənsə, bəńdʹikā"	"bənsə, bəńdʹikā"	"bənsə, bəɲdʲikɑː"	"5"	"e"	""	""	""	""	"Latter deriv.; from PU *we(ń)ćV?"	""	""	"SlNgaRus"
"Proto_Uralic"	"all"	"[Not reconstructable]"	""	""	"?"	"?"	""	""	""	""	"PU *we(ń)ćV (UEW) problematic"	""	""	"UEW, Sam88"
"Saami_Inari"	"all"	"puoh"	""	""	"3"	"c"	""	""	""	""	""	""	""	"InsSSk"
"Saami_Inari"	"all"	"viisut"	""	""	"14"	"n"	""	""	""	""	""	""	""	"InsSSk"
"Saami_Kildin"	"all"	"pugk"	""	"pugː"	"3"	"c"	""	""	""	""	""	""	""	"WOLD"
"Saami_North"	"all"	"buot"	""	""	"3"	"c"	""	""	""	""	""	""	""	"SSSg"
"Saami_Pite"	"all"	"gajk"	""	""	"1"	"o"	"Finnic"	"clear"	""	""	""	""	"Lagercrantz1939"	"EZ"
"Saami_Skolt"	"all"	"puk"	""	""	"3"	"c"	""	""	""	""	""	""	""	"SKosSk"
"Saami_South"	"all"	"gaajhke"	""	""	"1"	"o"	"Finnic"	"clear"	""	""	""	""	"Lagercrantz1939"	"NSsNdb"
"Saami_Ume"	"all"	"gáihka"	""	""	"1"	"o"	"Finnic"	"clear"	""	""	""	""	"Lagercrantz1939"	"WbWlap"
"Selkup_Northern"	"all"	"muntə"	"muntə"	"muntə"	"12"	"l"	""	""	""	""	""	""	""	"SolkWb"
"Udmurt"	"all"	"vańmi̮z"	"vańmi̮z"	"vɑɲmɯz"	"13"	"m"	""	""	""	""	""	""	""	"WotjWsch"
"Veps"	"all"	"kaik"	""	""	"1"	"a"	"Baltic"	"clear"	""	""	""	""	"SSA, NES, EES"	"VVS"
"Votic_Western"	"all"	"kõiɢ ~ kõik"	"ke̮iɢ, ke̮ik"	"kɤig̊, kɤik"	"1"	"a"	"Baltic"	"clear"	""	""	""	""	"SSA, NES, EES"	"VKJMS"
"Erzya"	"and"	"di ~ da"	"di, da"	"di, dɑ"	"4"	"p"	"Russian"	"clear"	""	""	""	""	"MordWb"	"MordWb"
"Erzya"	"and"	"i"	"i"	"i"	"2"	"t"	"Russian"	"clear"	""	""	""	""	"MordWb"	"MordWb"
"Estonian_South"	"and"	"ja"	""	""	"1"	"o"	"Germanic"	"clear"	""	""	""	""	"LAGLOS, EES"	"VESr"
"Estonian_Standard"	"and"	"ja"	""	"jɑ"	"1"	"o"	"Germanic"	"clear"	""	""	""	""	"LAGLOS, EES"	"SVSk"
"Finnish_Standard"	"and"	"ja"	""	"jɑ"	"1"	"o"	"Germanic"	"clear"	""	""	""	""	"SSA"	"JL"
"Hungarian"	"and"	"és, s"	""	"eːʃ, ʃ"	"7"	"g"	""	""	""	""	"Latter contraction"	""	""	"FMSz"
"Ingrian"	"and"	"i"	"i"	"i"	"2"	"w"	"Russian"	"clear"	""	""	""	""	"InkmSk"	"InkmSk"
"Ingrian"	"and"	"ja"	"ja"	"jɑ"	"1"	"o"	"Germanic"	"clear"	""	""	""	""	"LAGLOS, SSA"	"InkmSk"
"Ingrian"	"and"	"ta"	"ta"	"tɑ"	"4"	"x"	"Russian"	"probable"	"Influence of Russian ""da"" on native ""tai""?"	""	""	""	"InkmSk"	"InkmSk"
"Karelian_Proper"	"and"	"i"	""	""	"2"	"b"	"Russian"	"clear"	""	""	""	""	"MH"	"KKSV"
"Karelian_Proper"	"and"	"ta ~ tai"	""	""	"4"	"c"	"Russian"	"probable"	"Influence of Russian ""da"" on native ""tai""?"	""	""	""	"SSA"	"KKSV"
"Khanty_Vakh_Vasyugan"	"and"	"os"	"os"	"os"	"11"	"k"	""	""	""	"'And, still, again, also'"	""	""	""	"DEWbOstj"
"Khanty_Vakh_Vasyugan"	"and"	"päni"	"päni"	"pæni"	"9"	"i"	""	""	""	"'And, again'"	""	""	""	"DEWbOstj"
"Komi_Permyak"	"and"	"da"	"da"	"dɑ"	"4"	"ab"	"Russian"	"clear"	""	""	""	""	"KoPRSl"	"KoPRSl"
"Komi_Permyak"	"and"	"i"	"i"	"i"	"2"	"ac"	"Russian"	"clear"	""	""	""	""	"KESK"	"KoPRSl"
"Komi_Zyrian"	"and"	"da"	"da"	"dɑ"	"4"	"r"	"Russian"	"clear"	""	""	""	""	"Kalima1911"	"SyrjWsch"
"Komi_Zyrian"	"and"	"i"	"i"	"i"	"2"	"q"	"Russian"	"clear"	""	""	""	""	"KESK"	"SyrjWsch"
"Livonian_Courland"	"and"	"un"	""	""	"21"	"u"	""	""	""	""	""	"MdH"	""	""
