"uralex_lang"	"collected_by"	"final_wordlist_checked_by"
"Erzya"	"Jyri Lehtinen, Natalia Chinaeva"	"Sven-Erik Soosaar"
"Estonian_South"	"Katri Hiovain, Sulev Iva"	"Sven-Erik Soosaar"
"Estonian_Standard"	"Jyri Lehtinen, Eve Mikone"	"Sven-Erik Soosaar"
"Finnish_Standard"	"Jyri Lehtinen, Kaj Syrjänen"	"Sven-Erik Soosaar"
"Hungarian"	"Jyri Lehtinen, Judit Varga, Zoltán Balogh, Nikolett F. Gulyás"	"Sven-Erik Soosaar"
"Ingrian"	"Katri Hiovain"	"Sven-Erik Soosaar"
"Karelian_Proper"	"Jyri Lehtinen, Marja Torikka"	"Sven-Erik Soosaar"
"Khanty_Vakh_Vasyugan"	"Jyri Lehtinen, Merja Salo"	"Sven-Erik Soosaar"
"Komi_Permyak"	"Nikolett F. Gulyás, Larisa Ponomareva, Rogier Blokland"	"Sven-Erik Soosaar"
"Komi_Zyrian"	"Jyri Lehtinen, Svetlana Lumme"	"Sven-Erik Soosaar"
"Livonian_Courland"	"Jyri Lehtinen, Santra Jantunen"	"Sven-Erik Soosaar"
"Mansi_Sosva"	"Jyri Lehtinen, Susanna Virtanen"	"Sven-Erik Soosaar"
"Mari_Hill"	""	""
"Mari_Meadow"	"Jyri Lehtinen, Arto Moisio"	"Sven-Erik Soosaar"
"Moksha"	"Sven-Erik Soosaar"	""
"Nenets_Tundra"	"Jyri Lehtinen, Tapani Salminen"	"Sven-Erik Soosaar"
"Nganasan"	"Jyri Lehtinen"	"Sven-Erik Soosaar"
"Proto_Uralic"	"Jyri Lehtinen"	""
"Saami_Inari"	"Jyri Lehtinen"	"Sven-Erik Soosaar"
"Saami_Kildin"	"Michael Rießler"	"Sven-Erik Soosaar"
"Saami_North"	"Jyri Lehtinen, Kaarina Vuolab-Lohi"	"Sven-Erik Soosaar"
"Saami_Pite"	"Evgenia Zhivotova"	"Sven-Erik Soosaar"
"Saami_Skolt"	"Jyri Lehtinen, Eino Koponen"	"Sven-Erik Soosaar"
"Saami_South"	"Eino Koponen, Jyri Lehtinen"	"Sven-Erik Soosaar"
"Saami_Ume"	"Jyri Lehtinen, Eino Koponen"	"Sven-Erik Soosaar"
"Selkup_Northern"	"Jyri Lehtinen, Tapani Salminen"	"Sven-Erik Soosaar"
"Udmurt"	"Jyri Lehtinen, Olga Titova"	"Sven-Erik Soosaar"
"Veps"	"Jyri Lehtinen, Santra Jantunen"	"Sven-Erik Soosaar"
"Votic_Western"	"Katri Hiovain"	"Sven-Erik Soosaar"
